Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,Class Label
0,0.361572266,0.435306549,0.050704228,0.204057841,0.5390625,0.010253906,0.114864349,0.095428569,1.964212602,0.427001953,0.336174011,0.207490789,-0.350705041,0.606201172,0.320594788,0.125540231,-0.848933497,0.474853516,107.7907715,28.63189776,104.3583984,29.53782942,101.1181641,30.15439117,50.9837835,0.966420717,0.096073311,0.437946326,0
1,0.061767578,0.194801331,0.093206826,0.285914478,0.361083984,0.047363281,0.111488342,0.051102889,1.274667225,0.262451172,0.14956665,0.110350225,0.578472994,0.371826172,0.156974792,0.085063598,0.097958757,0.328857422,126.0136719,4.990548547,123.9904785,6.234955108,122.1125488,7.815298171,6.668366363,0.9288932,0.13233228,0.503806205,0
2,0.078857422,0.181091309,0.072429407,0.93160212,0.360595703,0.080322266,0.192771912,0.084116363,0.415428356,0.345947266,0.178348541,0.149520412,1.170444285,0.66796875,0.161281586,0.11994269,1.498008277,0.595458984,114.9726563,5.887763262,110.3757324,6.766702927,105.7680664,7.326570049,11.41986233,0.90351168,0.089813692,0.418770451,0
3,0.053222656,0.078937531,0.011608724,-0.277801309,0.102050781,0.022949219,0.048118591,0.015486023,0.598275948,0.088623047,0.067905426,0.049146375,1.371947117,0.232910156,0.089122772,0.047820635,0.242515237,0.211914063,111.7038574,3.092004679,110.059082,3.23983168,107.684082,3.041429515,1.908956522,0.911934082,0.137056762,0.570518951,0
4,0.034667969,0.123069763,0.044631324,0.367778018,0.242675781,0.061523438,0.121780396,0.032773403,0.449835534,0.190185547,0.126918793,0.08452168,0.163740096,0.291015625,0.110637665,0.045011277,0.286535405,0.217529297,173.1296387,3.36863411,173.5625,3.342435489,171.0075684,3.410002426,4.504948507,0.856520076,0.112649872,0.442578109,0
5,0.048583984,0.077655792,0.016994499,0.056217877,0.111572266,0.034667969,0.081905365,0.019589528,-0.080336208,0.125244141,0.092021942,0.043392805,0.19540406,0.182861328,0.091064453,0.045679422,0.261605588,0.210449219,117.7666016,2.997918838,116.3894043,3.167442259,117.4133301,3.312103167,2.820785895,0.898597167,0.132152186,0.528244443,0
6,0.138916016,0.228271484,0.03256124,-0.14249935,0.326171875,0.047851563,0.1224823,0.03553829,0.436331342,0.226318359,0.163902283,0.06222441,0.262069541,0.314697266,0.156227112,0.076836289,0.00419234,0.299072266,180.4257813,4.843887032,182.8137207,4.584250086,184.5322266,4.593424364,9.483204798,0.845645052,0.081436228,0.364002019,0
7,0.085205078,0.147045135,0.034925116,0.326092412,0.22265625,0.087158203,0.156433105,0.032884273,0.410418597,0.239257813,0.148918152,0.076216574,0.293975885,0.310058594,0.133457184,0.082987248,1.951495249,0.450439453,177.2089844,4.318528095,180.7165527,4.385698908,183.3322754,4.562413666,8.867836081,0.811787025,0.079116829,0.33402057,0
8,0.064941406,0.144058228,0.048605619,0.226312659,0.240966797,0.151855469,0.205791473,0.037385648,1.000273487,0.313720703,0.178775787,0.078731983,-0.56875843,0.298339844,0.138591766,0.0948434,0.74140989,0.343994141,132.5900879,6.451833965,134.8779297,7.413613244,138.5612793,9.124820992,8.20198334,0.935288505,0.063258703,0.369103956,0
9,0.183837891,0.374359131,0.077424299,-0.221660607,0.522460938,0.153320313,0.309459686,0.078416993,0.201051378,0.464355469,0.311515808,0.232846197,0.316983258,0.822021484,0.302013397,0.151016903,-0.23298582,0.529541016,110.7504883,8.611388136,110.4377441,9.27772614,111.6320801,9.558395574,35.38183225,0.84489022,0.043967061,0.203415002,0
